Better for you Options,DaD Selling price,Rock bottom,Tag,Vendor,,
Red velvet Cupcake,90,63,In-house sweet,Dream a Dozen,,
Choco caramel Cupcake,90,54,In-house sweet,Dream a Dozen,,
"Theme cupcake (Pride, tricolour, Christmas etc)",100,60,In-house sweet,Dream a Dozen,,
White Chocolate Disc with Edible Print,50,39,Customisation,Dream a Dozen,,
Fudgy Walnut brownie,120,120,In-house sweet,Dream a Dozen,,
Fudgy walnut brownie - mini,35,30,In-house sweet,Dream a Dozen,,
Red velvet brownie - mini,45,36,In-house sweet,Dream a Dozen,,
Chocolate cake pop,45,30,In-house sweet,Dream a Dozen,,
Vanilla cake pop,45,30,In-house sweet,Dream a Dozen,,
Chocolate Tart,75,55,In-house sweet,Dream a Dozen,,
Frooti,10,10,FMCG,Outsourced,,
Paper Boat - Swing,10,10,FMCG,Outsourced,,
Lays,10,10,FMCG,Outsourced,,
Maaza,10,10,FMCG,Outsourced,,
