Items,Category,Price per unit,Rock Bottom,Vendor,Tag,Length (INCH),Breadth (INCH),Height (INCH),Primary Packaging,Secondary Packaging
Khara cookies tin 60g,Inside item,150.54,125.45,,Food,3,3,2,"Cookie Tray, Plastic pouch",Tin
Guntur Piri Piri tin 60g,Inside item,149.82,124.85,,Food,3,3,2,Plastic pouch,Tin
Guntur Peri Peri Crisp tin 60g,Inside item,142.14,118.45,,Food,3,3,2,Plastic pouch,Tin
Savoury millet cacker tin 60g,Inside item,183.96,153.3,,Food,3,3,5,Plastic pouch,Tin
"Truffle (pack of 9) (Nutella, coconut, coffee almond)",Inside item,769.68,641.4,,Food,6,6,1,"Gold foil, Sticker",Box
Truffle pack of 6,Inside item,490.92,409.1,,Food,6,4.5,1.5,"Gold foil, Sticker",Box
